epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1040.03,1.7022,1.82659,1.70729,0.42834,0.51187,0.48903,0.19367,2.31074,2.02859,2.37642,8.2806e-05,8.2806e-05,8.2806e-05
97,1050.7,1.60955,1.7626,1.69496,0.37522,0.48255,0.44475,0.17188,2.31686,2.0323,2.3556,8.13408e-05,8.13408e-05,8.13408e-05
98,1061.2,1.66581,1.80012,1.69101,0.33715,0.57123,0.422,0.16701,2.3357,1.99615,2.37107,7.98756e-05,7.98756e-05,7.98756e-05
99,1072.26,1.68137,1.73436,1.70463,0.49723,0.52632,0.5813,0.21213,2.33395,2.00385,2.37345,7.84104e-05,7.84104e-05,7.84104e-05
100,1082.97,1.68753,1.76863,1.71052,0.54181,0.52526,0.58243,0.21775,2.3273,2.03738,2.38162,7.69452e-05,7.69452e-05,7.69452e-05
101,1093.74,1.6664,1.7688,1.70779,0.53674,0.55263,0.59174,0.22008,2.35107,2.07114,2.38882,7.548e-05,7.548e-05,7.548e-05
102,1104.4,1.68106,1.78834,1.71446,0.51235,0.51502,0.50372,0.20345,2.35753,2.07615,2.39234,7.40148e-05,7.40148e-05,7.40148e-05
103,1115.02,1.63428,1.77188,1.67609,0.46718,0.51297,0.47707,0.18403,2.36578,2.04457,2.38771,7.25496e-05,7.25496e-05,7.25496e-05
104,1125.53,1.64602,1.75724,1.6962,0.39302,0.44799,0.45501,0.17834,2.34679,1.969,2.3749,7.10844e-05,7.10844e-05,7.10844e-05
105,1136.05,1.68925,1.78177,1.71999,0.38655,0.55333,0.49157,0.20688,2.36502,1.93045,2.41278,6.96192e-05,6.96192e-05,6.96192e-05
106,1146.65,1.66786,1.77944,1.72247,0.40112,0.56121,0.48682,0.20512,2.37019,1.9294,2.41713,6.8154e-05,6.8154e-05,6.8154e-05
107,1157.24,1.63054,1.71526,1.68113,0.50375,0.65758,0.60798,0.21721,2.36007,1.97785,2.40611,6.66888e-05,6.66888e-05,6.66888e-05
108,1167.89,1.66561,1.7275,1.70327,0.43381,0.6,0.54122,0.20592,2.31605,1.98796,2.36702,6.52236e-05,6.52236e-05,6.52236e-05
109,1178.64,1.72044,1.79561,1.73195,0.41482,0.57746,0.52958,0.18677,2.34359,2.0628,2.3828,6.37584e-05,6.37584e-05,6.37584e-05
110,1189.21,1.69867,1.69272,1.68325,0.59358,0.44894,0.44319,0.17059,2.33437,2.0586,2.3593,6.22932e-05,6.22932e-05,6.22932e-05
111,1200.08,1.72246,1.7595,1.70557,0.58645,0.44555,0.45571,0.16075,2.33669,2.0244,2.35957,6.0828e-05,6.0828e-05,6.0828e-05
112,1210.89,1.6378,1.71015,1.70125,0.37696,0.44692,0.43447,0.17641,2.33121,1.99376,2.35824,5.93628e-05,5.93628e-05,5.93628e-05
113,1221.53,1.64817,1.73757,1.69617,0.48216,0.56148,0.5318,0.19187,2.35992,2.04034,2.39873,5.78976e-05,5.78976e-05,5.78976e-05
114,1232.15,1.6624,1.7249,1.6937,0.4704,0.5703,0.55441,0.21586,2.36165,2.01476,2.40026,5.64324e-05,5.64324e-05,5.64324e-05
115,1243.04,1.67787,1.74453,1.7219,0.5109,0.53315,0.5435,0.17463,2.34764,2.00048,2.3895,5.49672e-05,5.49672e-05,5.49672e-05
116,1253.51,1.69419,1.71924,1.69728,0.53388,0.55212,0.56708,0.2039,2.34895,2.02714,2.40195,5.3502e-05,5.3502e-05,5.3502e-05
117,1264,1.60292,1.6837,1.66671,0.57313,0.6195,0.61671,0.21283,2.34236,1.98349,2.3914,5.20368e-05,5.20368e-05,5.20368e-05
118,1274.72,1.63266,1.68454,1.68499,0.52696,0.49276,0.52511,0.17726,2.35533,1.96924,2.40598,5.05716e-05,5.05716e-05,5.05716e-05
119,1285.23,1.67297,1.72742,1.67589,0.5176,0.49273,0.51821,0.17412,2.37214,2.00261,2.39253,4.91064e-05,4.91064e-05,4.91064e-05
120,1295.82,1.65238,1.66963,1.64619,0.56058,0.55904,0.54989,0.20863,2.36651,2.06255,2.40166,4.76412e-05,4.76412e-05,4.76412e-05
121,1306.37,1.66559,1.71664,1.68522,0.49977,0.56303,0.51856,0.18128,2.35897,2.03558,2.38453,4.6176e-05,4.6176e-05,4.6176e-05
122,1316.99,1.63134,1.72067,1.64985,0.52901,0.53187,0.51956,0.17689,2.36936,2.00048,2.38836,4.47108e-05,4.47108e-05,4.47108e-05
123,1327.6,1.66752,1.66239,1.67975,0.55039,0.51653,0.51034,0.17124,2.36875,2.02973,2.4058,4.32456e-05,4.32456e-05,4.32456e-05
124,1338.58,1.63087,1.65844,1.69178,0.5313,0.49818,0.52895,0.21256,2.39361,2.04033,2.39743,4.17804e-05,4.17804e-05,4.17804e-05
125,1349.09,1.63404,1.62964,1.62679,0.53811,0.47837,0.52093,0.21404,2.40195,2.02763,2.40644,4.03152e-05,4.03152e-05,4.03152e-05
126,1359.78,1.61148,1.67513,1.67429,0.46077,0.62801,0.52225,0.184,2.3831,2.01381,2.40993,3.885e-05,3.885e-05,3.885e-05
127,1370.27,1.56981,1.62721,1.62604,0.50779,0.51941,0.5321,0.1672,2.38095,2.01701,2.41513,3.73848e-05,3.73848e-05,3.73848e-05
128,1381.05,1.66253,1.64239,1.66787,0.48587,0.5138,0.52171,0.1721,2.38098,1.99698,2.42379,3.59196e-05,3.59196e-05,3.59196e-05
129,1391.45,1.59129,1.62573,1.6353,0.51485,0.50727,0.51881,0.18642,2.38659,1.98611,2.42389,3.44544e-05,3.44544e-05,3.44544e-05
130,1402.17,1.66245,1.68286,1.67818,0.54396,0.50964,0.51981,0.18623,2.37573,1.96746,2.41068,3.29892e-05,3.29892e-05,3.29892e-05
131,1412.82,1.65006,1.69649,1.66027,0.54582,0.49732,0.51078,0.17842,2.35821,1.9836,2.4011,3.1524e-05,3.1524e-05,3.1524e-05
132,1423.7,1.61252,1.58615,1.64629,0.54542,0.55576,0.52261,0.19015,2.32536,1.979,2.37712,3.00588e-05,3.00588e-05,3.00588e-05
133,1434.46,1.66091,1.64132,1.65205,0.45529,0.57596,0.52794,0.18046,2.33675,1.99355,2.37057,2.85936e-05,2.85936e-05,2.85936e-05
