epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,552.175,1.79413,2.13491,1.86279,0.49096,0.37781,0.36728,0.12238,2.28223,2.1749,2.38975,0.000227409,0.000227409,0.000227409
57,562.208,1.76559,2.11908,1.85883,0.71181,0.41501,0.40234,0.1325,2.2328,2.15647,2.32532,0.000225053,0.000225053,0.000225053
58,572.086,1.76199,2.12748,1.81685,0.50546,0.35158,0.32112,0.09497,2.23112,2.24326,2.32291,0.000222697,0.000222697,0.000222697
59,582.105,1.81859,2.1991,1.85549,0.49058,0.37792,0.32506,0.09595,2.23836,2.1688,2.32463,0.00022034,0.00022034,0.00022034
60,591.997,1.77212,2.11477,1.83248,0.50678,0.29166,0.28411,0.08086,2.34563,2.24488,2.45808,0.000217984,0.000217984,0.000217984
61,601.777,1.76739,2.12407,1.85462,0.44363,0.35598,0.29061,0.10325,2.19744,2.20179,2.3216,0.000215628,0.000215628,0.000215628
62,611.623,1.75714,2.08778,1.81768,0.46187,0.38162,0.31629,0.10751,2.19454,2.18576,2.30637,0.000213272,0.000213272,0.000213272
63,621.28,1.75141,2.05559,1.81995,0.45728,0.4021,0.32465,0.1012,2.21461,2.21837,2.33345,0.000210916,0.000210916,0.000210916
64,631.273,1.77801,2.09925,1.81334,0.67026,0.36006,0.30285,0.10123,2.24186,2.17662,2.37209,0.000208559,0.000208559,0.000208559
65,641.039,1.77991,2.05141,1.83255,0.5887,0.34389,0.33668,0.10701,2.26001,2.14912,2.37217,0.000206203,0.000206203,0.000206203
66,651.259,1.80615,2.07972,1.82792,0.76667,0.3599,0.36417,0.1273,2.20865,2.11408,2.34879,0.000203847,0.000203847,0.000203847
67,661.117,1.78852,2.08742,1.85804,0.78,0.35407,0.36049,0.12292,2.25188,2.13831,2.43026,0.000201491,0.000201491,0.000201491
68,671.066,1.75246,2.04366,1.80946,0.58328,0.31748,0.33042,0.11187,2.26665,2.11291,2.37532,0.000199135,0.000199135,0.000199135
69,680.812,1.77304,1.99226,1.78156,0.53327,0.37964,0.35969,0.1182,2.30815,2.04923,2.40405,0.000196778,0.000196778,0.000196778
